species,iucn
Vellozia_abietina,LC
Vellozia_alata,EN
Vellozia_albiflora_1,LC
Vellozia_aloifolia,LC
Vellozia_andina,EN
Vellozia_angustifolia,LC
Vellozia_armata,EN
Vellozia_auriculata,VU
Vellozia_barbata,EN
Vellozia_brevifolia,EN
Vellozia_breviscapa,VU
Vellozia_caespitosa,EN
Vellozia_candida,LC
Vellozia_canelinha,EN
Vellozia_caruncularis_1,LC
Vellozia_caudata_1,VU
Vellozia_ciliata,EN
Vellozia_compacta,LC
Vellozia_crinita,CR
Vellozia_cryptantha,EN
Vellozia_dasypus,EN
Vellozia_declinans,LC
Vellozia_epidendroides,LC
Vellozia_exilis,EN
Vellozia_formosa,CR
Vellozia_froesii,LC
Vellozia_furcata,LC
Vellozia_geotegens,EN
Vellozia_gigantea,EN
Vellozia_giuliettiae,CR
Vellozia_glabra,LC
Vellozia_glauca,LC
Vellozia_goiasensis,EN
Vellozia_graminea,LC
Vellozia_graomogolensis,EN
Vellozia_hatschbachii,EN
Vellozia_hemisphaerica_1,LC
Vellozia_hirsuta,LC
Vellozia_inselbergae,EN
Vellozia_intermedia,LC
Vellozia_jolyi,LC
Vellozia_luteola,EN
Vellozia_marcescens,EN
Vellozia_maxillarioides,EN
Vellozia_mellosilvae,EN
Vellozia_metzgerae,EN
Vellozia_minima,LC
Vellozia_nanuzae,VU
Vellozia_nivea,VU
Vellozia_obtecta,EN
Vellozia_ornata,EN
Vellozia_patens,VU
Vellozia_peripherica,EN
Vellozia_plicata,EN
Vellozia_prolifera,CR
Vellozia_pulchra,EN
Vellozia_punctulata,LC
Vellozia_religiosa,CR
Vellozia_resinosa,EN
Vellozia_sellowii,VU
Vellozia_semirii,EN
Vellozia_sessilis,EN
Vellozia_seubertiana,EN
Vellozia_spiralis,EN
Vellozia_stenocarpa,EN
Vellozia_strangii,EN
Vellozia_streptophylla,EN
Vellozia_subscabra,LC
Vellozia_taxifolia,VU
Vellozia_tillandsioides,EN
Vellozia_tragacantha,VU
Vellozia_tubiflora,LC
Vellozia_variabilis,LC
Vellozia_variegata,LC
