sp_now,Median
Vellozia_pulchra,12.28970015
Vellozia_plicata,10.82595117
Vellozia_andina,10.99236263
Vellozia_furcata,1.238646501
Vellozia_luteola,6.16888352
Vellozia_armata,6.182410994
Vellozia_dasypus,3.046996868
Vellozia_seubertiana,1.379060075
Vellozia_froesii,0.274417049
Vellozia_inselbergae,1.225659648
Vellozia_candida,0.224757327
Vellozia_glauca,0.241745797
Vellozia_mellosilvae,1.734464006
Vellozia_hirsuta,0.213228564
Vellozia_formosa,3.633452152
Vellozia_tillandsioides,1.333454789
Vellozia_geotegens,1.002047106
Vellozia_nanuzae,0.344094221
Vellozia_albiflora_1,0.096970104
Vellozia_canelinha,7.937427598
Vellozia_religiosa,4.474729698
Vellozia_jolyi,0.746919717
Vellozia_hemisphaerica_1,0.350606011
Vellozia_caudata_1,0.988768676
Vellozia_maxillarioides,6.648987352
Vellozia_tubiflora,0.484557659
Vellozia_sessilis,3.289328591
Vellozia_nivea,2.342062131
Vellozia_goiasensis,3.321734015
Vellozia_exilis,1.804725536
Vellozia_angustifolia,0.330055866
Vellozia_metzgerae,2.250313973
Vellozia_crinita,3.028928807
Vellozia_caespitosa,1.277135445
Vellozia_aloifolia,0.317819168
Vellozia_graminea,0.210422909
Vellozia_compacta,0.207053578
Vellozia_punctulata,0.413433837
Vellozia_alata,2.736408816
Vellozia_ciliata,5.03491497
Vellozia_prolifera,9.499978923
Vellozia_graomogolensis,4.44840358
Vellozia_barbata,4.230248026
Vellozia_brevifolia,2.883588463
Vellozia_tragacantha,1.128195238
Vellozia_sellowii,1.158073535
Vellozia_semirii,2.736610157
Vellozia_giuliettiae,3.973766728
Vellozia_minima,0.316720068
Vellozia_stenocarpa,2.082981869
Vellozia_spiralis,2.056017879
Vellozia_streptophylla,2.179279681
Vellozia_abietina,0.277328787
Vellozia_gigantea,2.450330036
Vellozia_glabra,0.142719684
Vellozia_variegata,0.10752176
Vellozia_epidendroides,0.108979837
Vellozia_cryptantha,1.311402512
Vellozia_taxifolia,0.517789534
Vellozia_auriculata,0.425486071
Vellozia_ornata,0.371573715
Vellozia_declinans,0.072189956
Vellozia_resinosa,2.870507736
Vellozia_marcescens,2.079479383
Vellozia_patens,0.85479721
Vellozia_peripherica,1.428591636
Vellozia_obtecta,1.470916896
Vellozia_strangii,1.654810361
Vellozia_subscabra,0.143794629
Vellozia_hatschbachii,0.771420993
Vellozia_variabilis,0.13059928
Vellozia_caruncularis_1,0.09717415
Vellozia_intermedia,0.071499822
Vellozia_breviscapa,0.271871106
