species,percentage_of_habitat_lost
Vellozia_abietina,0.49
Vellozia_albiflora_1,0.56
Vellozia_aloifolia,1
Vellozia_andina,0.26
Vellozia_angustifolia,0.95
Vellozia_auriculata,1
Vellozia_breviscapa,1
Vellozia_caespitosa,1
Vellozia_candida,0.62
Vellozia_canelinha,0.92
Vellozia_caruncularis_1,0.8
Vellozia_caudata_1,0.93
Vellozia_compacta,0.75
Vellozia_cryptantha,1
Vellozia_dasypus,0.68
Vellozia_declinans,0.65
Vellozia_epidendroides,1
Vellozia_exilis,1
Vellozia_froesii,0.81
Vellozia_furcata,0.17
Vellozia_geotegens,0.87
Vellozia_gigantea,0.99
Vellozia_glabra,0.42
Vellozia_glauca,0.84
Vellozia_graminea,0.92
Vellozia_hatschbachii,0.98
Vellozia_hemisphaerica_1,0.95
Vellozia_hirsuta,0.87
Vellozia_intermedia,0.72
Vellozia_jolyi,0.96
Vellozia_luteola,1
Vellozia_marcescens,0.99
Vellozia_maxillarioides,1
Vellozia_metzgerae,1
Vellozia_minima,1
Vellozia_nivea,0.99
Vellozia_ornata,0.91
Vellozia_patens,0.92
Vellozia_plicata,0.57
Vellozia_pulchra,0.97
Vellozia_punctulata,0.94
Vellozia_resinosa,0.89
Vellozia_sellowii,0.98
Vellozia_sessilis,1
Vellozia_seubertiana,0.84
Vellozia_stenocarpa,0.98
Vellozia_stipitata,0.88
Vellozia_strangii,0.46
Vellozia_subscabra,0.86
Vellozia_taxifolia,0.88
Vellozia_tragacantha,0.98
Vellozia_variabilis,0.85
Vellozia_variegata,0.76
